,altname
PERP/EUR,PERPEUR
PERP/USD,PERPUSD
PHA/EUR,PHAEUR
PHA/USD,PHAUSD
PLA/EUR,PLAEUR
PLA/USD,PLAUSD
POLIS/EUR,POLISEUR
POLIS/USD,POLISUSD
POLS/EUR,POLSEUR
POLS/USD,POLSUSD
POND/EUR,PONDEUR
POND/USD,PONDUSD
POWR/EUR,POWREUR
POWR/USD,POWRUSD
PSTAKE/EUR,PSTAKEEUR
PSTAKE/USD,PSTAKEUSD
QNT/EUR,QNTEUR
QNT/USD,QNTUSD
QTUM/ETH,QTUMETH
QTUM/EUR,QTUMEUR
QTUM/USD,QTUMUSD
QTUM/XBT,QTUMXBT
RAD/EUR,RADEUR
RAD/USD,RADUSD
RARE/EUR,RAREEUR
RARE/USD,RAREUSD
RARI/EUR,RARIEUR
RARI/GBP,RARIGBP
RARI/USD,RARIUSD
RARI/XBT,RARIXBT
RAY/EUR,RAYEUR
RAY/USD,RAYUSD
RBC/EUR,RBCEUR
RBC/USD,RBCUSD
REN/EUR,RENEUR
REN/GBP,RENGBP
REN/USD,RENUSD
REN/XBT,RENXBT
REPV2/ETH,REPV2ETH
REPV2/EUR,REPV2EUR
REPV2/USD,REPV2USD
REPV2/XBT,REPV2XBT
REQ/EUR,REQEUR
REQ/USD,REQUSD
RLC/EUR,RLCEUR
RLC/USD,RLCUSD
RNDR/EUR,RNDREUR
RNDR/USD,RNDRUSD
ROOK/EUR,ROOKEUR
ROOK/USD,ROOKUSD
RPL/EUR,RPLEUR
RPL/USD,RPLUSD
RUNE/EUR,RUNEEUR
RUNE/USD,RUNEUSD
SAMO/EUR,SAMOEUR
SAMO/USD,SAMOUSD
SAND/EUR,SANDEUR
SAND/GBP,SANDGBP
SAND/USD,SANDUSD
SAND/XBT,SANDXBT
SBR/EUR,SBREUR
SBR/USD,SBRUSD
SC/ETH,SCETH
SC/EUR,SCEUR
SCRT/EUR,SCRTEUR
SCRT/USD,SCRTUSD
SC/USD,SCUSD
SC/XBT,SCXBT
SDN/EUR,SDNEUR
SDN/USD,SDNUSD
SGB/EUR,SGBEUR
SGB/USD,SGBUSD
SHIB/EUR,SHIBEUR
SHIB/USD,SHIBUSD
SHIB/USDT,SHIBUSDT
SNX/AUD,SNXAUD
SNX/ETH,SNXETH
SNX/EUR,SNXEUR
SNX/GBP,SNXGBP
SNX/USD,SNXUSD
SNX/XBT,SNXXBT
SOL/EUR,SOLEUR
SOL/GBP,SOLGBP
SOL/USD,SOLUSD
SOL/USDT,SOLUSDT
SOL/XBT,SOLXBT
SPELL/EUR,SPELLEUR
