dtime,time,open,high,low,close,vwap,volume,count
2022-11-15 20:00:00,1668542400,1.0363,1.0373,1.03503,1.03537,1.03632,888153.65649833,652
2022-11-15 21:00:00,1668546000,1.03511,1.0355,1.03404,1.03441,1.03461,331999.53865881,783
2022-11-15 22:00:00,1668549600,1.03438,1.03492,1.0342,1.03431,1.03451,127330.23277911,301
2022-11-15 23:00:00,1668553200,1.03431,1.03592,1.03393,1.03586,1.03426,1196527.85824258,396
2022-11-16 00:00:00,1668556800,1.03569,1.03601,1.03383,1.03444,1.03427,597379.55051383,331
2022-11-16 01:00:00,1668560400,1.03444,1.03497,1.03338,1.03439,1.03364,933407.32799994,522
2022-11-16 02:00:00,1668564000,1.03444,1.0387,1.03444,1.03774,1.03656,880049.96447797,1163
2022-11-16 03:00:00,1668567600,1.03779,1.03779,1.03539,1.03539,1.03616,265594.21089474,617
2022-11-16 04:00:00,1668571200,1.03548,1.03571,1.03407,1.03474,1.03485,79972.93976574,453
2022-11-16 05:00:00,1668574800,1.03466,1.03775,1.03434,1.03745,1.03611,191003.70426822,675
2022-11-16 06:00:00,1668578400,1.03778,1.03872,1.03664,1.03782,1.03754,231023.5630374,1179
2022-11-16 07:00:00,1668582000,1.03786,1.04129,1.03763,1.04067,1.03928,1102170.30999108,1068
2022-11-16 08:00:00,1668585600,1.0404,1.042,1.03883,1.04057,1.03989,1449585.61944084,1036
2022-11-16 09:00:00,1668589200,1.04032,1.04241,1.04032,1.04174,1.04134,2076002.79925865,1166
2022-11-16 10:00:00,1668592800,1.04205,1.04379,1.04151,1.04277,1.04281,1874410.07366715,1077
2022-11-16 11:00:00,1668596400,1.04295,1.04313,1.04116,1.04157,1.04226,1239972.71024397,983
2022-11-16 12:00:00,1668600000,1.04157,1.0428,1.04117,1.042,1.04177,1269628.66160115,1768
2022-11-16 13:00:00,1668603600,1.04194,1.04228,1.03845,1.03914,1.0407,3392987.92341589,1611
2022-11-16 14:00:00,1668607200,1.0391,1.04119,1.0373,1.0387,1.03947,2351778.98146967,1583
2022-11-16 15:00:00,1668610800,1.03873,1.04041,1.03743,1.04031,1.03857,3117243.70454568,1344
2022-11-16 16:00:00,1668614400,1.04031,1.04099,1.03896,1.03959,1.03992,3044114.58689258,1596
2022-11-16 17:00:00,1668618000,1.03946,1.0398,1.03728,1.03825,1.039,1009913.03085685,664
2022-11-16 18:00:00,1668621600,1.03825,1.03849,1.03571,1.03674,1.03746,1519630.50643041,792
2022-11-16 19:00:00,1668625200,1.0368,1.03937,1.0368,1.03937,1.03757,882233.3786417,648
2022-11-16 20:00:00,1668628800,1.0393,1.04048,1.0385,1.03999,1.03976,308881.05987383,492
2022-11-16 21:00:00,1668632400,1.03999,1.04016,1.03918,1.04016,1.03971,1310898.12276303,425
2022-11-16 22:00:00,1668636000,1.04012,1.04045,1.03969,1.03972,1.03996,256951.35721722,419
2022-11-16 23:00:00,1668639600,1.03991,1.04036,1.03947,1.03977,1.03962,342273.72763201,254
2022-11-17 00:00:00,1668643200,1.03959,1.03978,1.03854,1.03862,1.03928,472671.12884441,486
2022-11-17 01:00:00,1668646800,1.03873,1.03911,1.03755,1.0376,1.03833,670695.12377855,351
2022-11-17 02:00:00,1668650400,1.03775,1.038,1.03635,1.03694,1.03692,305249.02175873,281
2022-11-17 03:00:00,1668654000,1.03703,1.03742,1.03605,1.03716,1.03649,167519.00791038,255
2022-11-17 04:00:00,1668657600,1.03725,1.038,1.03704,1.03714,1.03748,84405.7835517,346
2022-11-17 05:00:00,1668661200,1.03716,1.03834,1.03692,1.03809,1.03795,433749.74154281,411
2022-11-17 06:00:00,1668664800,1.03795,1.03984,1.03778,1.03871,1.03868,726454.610601,493
2022-11-17 07:00:00,1668668400,1.0387,1.0397,1.03705,1.03969,1.03797,383389.6255661,283
2022-11-17 08:00:00,1668672000,1.03969,1.04072,1.03866,1.03873,1.0395,1590617.58179746,1008
2022-11-17 09:00:00,1668675600,1.03873,1.03895,1.03575,1.03636,1.03787,1720247.15635731,961
2022-11-17 10:00:00,1668679200,1.03637,1.03693,1.03389,1.03401,1.03501,1989213.93152645,1521
2022-11-17 11:00:00,1668682800,1.03393,1.03521,1.03295,1.03461,1.03399,1157246.50627523,704
2022-11-17 12:00:00,1668686400,1.0348,1.03535,1.03223,1.03316,1.03366,566276.1810728,647
2022-11-17 13:00:00,1668690000,1.0332,1.05,1.03161,1.03181,1.03346,1835964.62131976,1471
2022-11-17 14:00:00,1668693600,1.03185,1.03574,1.03153,1.03474,1.03282,1784890.86829197,1131
2022-11-17 15:00:00,1668697200,1.03475,1.03606,1.03317,1.03321,1.03489,1278718.08669514,1125
2022-11-17 16:00:00,1668700800,1.03328,1.03469,1.03223,1.03418,1.03356,722791.61474593,655
2022-11-17 17:00:00,1668704400,1.03469,1.03604,1.03405,1.03508,1.03459,794335.33063544,548
2022-11-17 18:00:00,1668708000,1.0351,1.03734,1.0351,1.03707,1.03633,148078.93718064,441
2022-11-17 19:00:00,1668711600,1.0367,1.03732,1.0361,1.03699,1.03666,236806.2315111,431
2022-11-17 20:00:00,1668715200,1.03689,1.0376,1.03643,1.03747,1.0369,450441.26293656,435
2022-11-17 21:00:00,1668718800,1.03744,1.038,1.03706,1.0374,1.03772,714421.07917056,516
2022-11-17 22:00:00,1668722400,1.03749,1.03878,1.03706,1.03825,1.03782,137296.64712184,221
2022-11-17 23:00:00,1668726000,1.03743,1.03818,1.0361,1.03648,1.03686,75211.94366013,192
2022-11-18 00:00:00,1668729600,1.03649,1.03828,1.0362,1.03791,1.03728,196478.92537453,213
